"0","59","1243","381.27","1022","1986-12-28 05:32:31","false"
"1","46","1831","30.13","1766","1982-03-03 10:48:54","false"
"2","37","1118","455.84","3856","1997-02-16 15:40:38","false"
"3","35","1612","108.74","5118","2002-10-17 17:25:57","false"
"4","28","1866","35.40","9119","1975-05-03 11:38:34","false"
"5","76","797","476.22","2571","1983-05-07 03:15:00","false"
"6","1","1479","201.38","2894","2015-11-24 00:05:29","false"
"7","81","1853","63.99","1384","1982-12-17 22:04:28","false"
"8","86","1625","455.41","1712","2017-07-16 10:38:13","false"
"9","21","1082","320.29","3348","1998-06-21 06:45:54","false"
"10","96","1625","363.38","6333","1983-01-25 09:51:04","false"
"11","59","453","428.78","5699","2003-11-18 13:12:09","false"
"12","30","1464","408.82","86","2000-10-17 15:24:12","false"
"13","9","1067","317.34","1550","1973-05-06 07:46:23","false"
"14","69","1607","392.44","4875","1995-06-29 12:25:40","false"
"15","12","349","341.43","627","2020-09-26 18:19:13","false"
"16","27","1144","134.76","802","1987-07-27 02:09:11","false"
"17","4","15","427.11","1827","2016-02-08 02:04:49","false"
"18","19","398","209.05","8570","1990-05-07 21:22:17","false"
"19","61","237","184.33","7012","1994-03-21 09:07:19","false"
"20","62","679","66.03","2383","1993-07-23 14:22:29","false"
"21","23","1883","380.38","213","2009-11-16 23:16:44","false"
"22","36","1582","48.43","7495","1975-02-19 06:36:12","false"
"23","26","217","448.88","677","1979-05-04 08:21:16","false"
"24","2","1777","360.64","2813","1974-09-07 06:50:11","false"
"25","89","605","420.70","385","1990-04-30 22:20:55","false"
"26","90","1105","62.46","2152","1972-10-15 19:30:36","false"
"27","95","908","223.05","9751","2010-06-06 23:54:08","false"
"28","75","1125","226.59","1855","2003-02-22 23:43:43","false"
"29","90","1518","479.11","7055","2018-08-27 12:13:53","false"
"30","43","123","0.61","7097","2005-12-01 16:44:10","false"
"31","56","1174","296.46","4486","2004-10-03 02:47:56","false"
"32","59","659","196.28","1788","1979-05-14 16:31:42","false"
"33","51","36","195.85","6411","1981-07-10 03:30:56","false"
"34","14","359","57.29","1624","1984-08-08 16:24:06","false"
"35","81","1183","196.05","5598","1991-11-17 12:08:20","false"
"36","71","329","430.90","5218","1996-05-18 22:29:11","false"
"37","45","810","69.18","8679","2009-09-13 17:42:56","false"
"38","72","1749","192.42","2431","1980-07-27 06:49:31","false"
"39","89","1871","413.46","8729","1993-12-16 17:52:13","false"
"40","34","110","413.99","3208","2011-10-22 20:24:52","false"
"41","66","2","92.52","6432","1975-10-12 22:43:15","false"
"42","61","1539","26.87","876","2019-11-14 06:32:37","false"
"43","80","55","302.78","5880","1979-10-03 21:12:55","false"
"44","44","1781","77.83","9566","2016-02-01 02:22:28","false"
"45","33","1956","397.15","8253","1994-10-21 16:37:13","false"
