"0","1"
"1","3"
"3","4"
"5","5"
"6","6"
"11","14"
"12","16"
"14","18"
"14","19"
"18","24"
"18","25"
"19","26"
"19","27"
"19","28"
"20","29"
"20","30"
"20","31"
"26","38"
"29","39"
"32","43"
"34","45"
"40","56"
"41","57"
"44","59"
"46","62"
"47","63"
"49","65"
"49","66"
"53","72"
"54","75"
"55","78"
"55","79"
"57","84"
"57","86"
"59","90"
"59","91"
"60","92"
"60","94"
"61","96"
"61","97"
"63","101"
"67","107"
"69","111"
"69","112"
"70","114"
"72","118"
"72","119"
"73","120"
"73","121"
"74","122"
"76","125"
"76","126"
"78","129"
"78","130"
"79","132"
"80","133"
"84","138"
"85","139"
"85","140"
"87","141"
"89","143"
"91","147"
"93","150"
"95","154"
"95","155"
"97","158"
"98","160"
