"23","2199","4","2018-02-09 20:06:02"
"54","1860","9","2000-04-27 11:31:01"
"5","2669","3","1999-08-22 16:05:30"
"92","22","8","1989-01-18 21:44:19"
"69","4626","7","1983-02-12 09:15:10"
"58","2240","7","1991-06-27 20:14:21"
"98","4231","6","2005-06-19 15:27:27"
"9","2188","0","1979-05-12 01:31:31"
"10","2008","7","2003-06-12 01:01:59"
"98","963","7","2016-01-04 04:56:01"
"94","1903","6","1985-10-26 19:23:10"
"56","661","7","1984-06-12 05:37:36"
"42","3609","0","1992-10-24 14:06:31"
"57","663","8","1987-04-30 10:26:38"
"14","1615","5","2015-04-27 02:21:40"
"57","1763","6","2000-04-27 22:23:35"
"56","3665","8","1978-08-17 09:35:38"
"10","2528","8","1995-09-24 09:36:26"
"21","1323","4","2006-07-10 21:19:24"
"21","1580","8","2014-09-23 13:20:31"
"75","3443","9","1977-11-01 09:40:54"
"16","2904","9","2007-07-07 09:17:45"
"75","1911","9","2016-03-26 05:05:12"
"4","1751","8","1992-03-14 10:58:53"
"94","406","2","1982-09-14 13:29:29"
"86","4592","5","1974-12-24 13:43:48"
"7","714","5","1974-11-25 00:55:19"
"77","3054","9","2018-08-27 10:18:51"
"31","4319","7","1984-02-22 06:46:06"
"14","1092","2","1990-11-28 01:17:45"
"68","2899","6","2006-07-03 21:56:57"
"63","985","9","2017-04-16 15:35:01"
"47","3577","7","1996-06-06 21:48:31"
"27","864","2","1988-05-31 09:05:45"
"97","3693","6","2013-05-02 18:08:05"
"21","1552","3","1998-03-15 04:36:57"
"49","4385","5","1994-11-25 05:14:46"
"34","4631","9","2020-02-03 00:32:24"
"85","281","5","2021-07-08 10:48:30"
"75","3700","1","2011-06-10 17:33:42"
"80","484","7","1993-10-08 02:08:15"
"35","3950","4","1985-09-14 17:15:13"
"14","3749","0","2012-11-03 06:24:34"
"12","4504","5","2006-09-09 18:38:24"
"27","107","5","1980-12-12 04:37:05"
"78","1167","2","1991-11-10 13:08:15"
"8","2799","6","2016-03-20 13:23:26"
"37","3379","5","1985-07-06 02:50:50"
"42","349","1","1973-12-19 20:05:56"
"4","4108","7","1973-11-13 09:05:45"
"28","3912","8","1970-09-05 10:24:40"
"68","970","7","1979-03-25 17:05:56"
"37","3864","8","2000-11-09 00:33:25"
"62","2217","8","1977-12-31 20:13:04"
"33","1980","9","2005-04-09 23:44:08"
"39","1449","7","2004-09-10 17:15:26"
"45","4241","1","2000-09-10 05:20:38"
"68","3652","8","1987-04-18 18:39:31"
"34","4656","0","1970-02-14 21:44:52"
"14","2126","5","1988-01-28 04:39:35"
"61","2253","8","1973-08-07 03:56:33"
"4","1266","3","2011-01-19 04:38:16"
"57","1638","2","2014-06-26 14:01:02"
"13","300","6","2018-11-09 00:29:45"
"17","1013","3","1979-01-03 04:20:20"
"1","761","6","1997-12-06 11:35:49"
"70","1613","1","2005-06-05 10:23:35"
"42","3616","3","1992-07-12 03:22:01"
"39","4515","5","2002-07-21 12:20:42"
"16","89","5","2018-05-26 08:26:05"
"18","2648","8","1995-03-15 16:20:17"
"23","4043","8","2011-04-24 02:22:06"
"70","4188","1","2001-11-28 05:12:24"
"80","1089","6","2005-12-19 11:23:19"
"28","4198","0","1993-10-26 07:42:17"
"98","638","2","1997-08-11 19:51:03"
"85","180","1","2005-09-02 06:49:05"
"20","1347","7","1983-03-11 06:04:18"
"69","1699","7","2019-12-09 16:26:20"
"78","1050","9","1979-12-29 04:32:17"
"4","4603","1","2010-03-18 01:57:35"
"73","3497","7","2014-11-27 22:27:19"
"1","4414","2","2004-01-01 02:10:43"
"94","1613","4","1988-09-04 10:25:14"
"13","2959","6","1970-09-12 07:25:50"
"8","4306","5","1987-02-21 23:56:55"
"68","1700","9","2006-04-13 19:47:08"
"93","1135","0","2011-04-20 02:47:23"
"66","3470","9","1985-11-01 03:26:28"
"0","4018","0","2005-12-26 18:22:03"
"25","2217","6","1994-02-15 22:36:52"
"34","1544","4","2000-10-19 01:31:56"
"9","1132","7","2011-03-21 10:22:28"
"94","1906","3","2008-09-12 13:16:37"
"30","2583","8","1977-02-15 02:43:42"
"28","1431","6","1997-06-12 00:25:37"
"89","4022","6","2019-06-18 22:36:53"
"28","3164","3","2017-05-07 23:58:02"
"35","454","1","2021-01-06 04:40:08"
"77","332","9","1981-03-31 17:54:37"
"81","3993","2","1990-11-25 11:55:43"
"56","4825","5","1981-05-16 13:35:11"
"58","4613","4","2014-12-31 23:16:24"
"76","2725","7","2001-01-10 07:11:36"
"66","1143","8","2016-08-07 05:08:56"
"86","425","5","1990-07-24 09:27:10"
"96","72","4","2002-07-29 03:36:22"
"60","2923","5","1991-03-31 09:00:35"
"47","3479","4","1988-12-23 00:01:19"
"80","946","9","1992-09-23 09:55:06"
"72","2234","5","1988-10-06 21:21:34"
"27","4318","5","1982-10-08 02:16:25"
"1","3777","1","1996-07-11 22:20:30"
"28","4977","7","1976-09-23 20:00:00"
"77","1727","8","1973-07-18 01:15:32"
"89","4211","4","1990-03-20 05:02:59"
"49","352","4","1985-05-06 18:49:21"
"65","3613","2","2003-09-10 00:54:44"
"45","1815","3","2020-11-01 13:17:53"
"28","4969","5","1994-03-13 10:51:48"
"50","2366","8","1987-07-06 04:47:00"
"48","1240","2","1986-03-31 01:56:31"
"37","4325","6","2000-11-14 09:47:10"
"41","1084","2","1990-09-13 05:12:02"
"8","3025","1","1974-08-17 11:28:42"
"5","3813","3","2017-07-27 02:29:00"
"61","212","8","1971-08-15 02:49:02"
"31","4445","1","2014-08-17 12:15:57"
"15","179","0","1971-10-06 09:34:47"
"85","2690","7","1985-10-16 08:53:23"
"38","360","4","2000-01-27 11:15:51"
"52","4800","4","2020-02-18 19:51:53"
"71","4990","5","1992-01-02 17:37:04"
"69","1350","9","1997-03-06 03:29:18"
"33","4883","3","2016-04-30 08:08:52"
"14","4204","5","1987-10-18 10:49:56"
"74","934","7","1982-04-21 11:10:38"
"70","2362","2","2022-02-22 04:29:38"
"4","3190","4","1984-12-27 12:01:25"
"35","4237","9","2021-11-08 08:15:09"
"28","1981","1","1982-01-17 21:07:22"
"3","4961","6","2000-08-24 19:46:16"
"60","3729","2","1971-08-10 06:49:43"
"37","893","2","1987-11-22 03:07:33"
"24","100","0","1999-12-30 05:41:13"
"80","4851","9","1975-06-20 01:07:43"
"93","773","9","2002-01-28 10:43:02"
"13","4993","5","2019-04-24 07:13:32"
"19","4791","6","2016-09-18 18:48:13"
"39","4173","1","2003-10-11 02:03:23"
"30","109","8","1989-09-06 05:21:13"
"11","3899","7","2020-01-08 15:39:53"
"19","1458","2","1985-10-13 01:32:46"
"53","2428","5","2021-03-18 14:34:35"
"92","390","5","1981-01-19 13:44:56"
"60","787","9","2014-07-01 15:40:48"
"32","2438","0","2015-01-04 03:19:59"
"94","108","3","2002-09-29 15:29:06"
"37","2588","3","1976-03-22 07:17:23"
"74","128","1","2017-09-13 03:16:31"
"63","4365","3","1983-09-28 11:03:19"
"26","4400","1","2021-10-29 20:53:33"
"93","1640","0","1973-06-04 12:55:34"
"13","1393","4","1992-01-25 15:49:34"
"11","1077","0","1976-07-20 14:46:45"
"58","3927","6","2018-11-06 10:03:39"
"26","3312","4","2014-12-03 22:41:57"
"55","4566","5","2020-10-05 19:35:34"
"80","260","2","1987-05-04 21:01:17"
"24","3991","2","1993-08-09 08:19:41"
"89","731","6","1992-02-20 18:33:00"
"72","3326","2","2011-07-30 13:21:59"
"17","3461","5","1983-10-30 17:17:21"
"82","4985","4","1974-12-08 13:47:10"
"16","1435","1","1989-08-12 19:48:42"
